Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
36,52,88,train,True,0.0026048,-1.0106712198257446,761.856435379982,761.8027954101562,760.8457641601562,-0.9570045471191406,-0.05366667270660397
37,51,88,train,True,0.0001584,-2.1664393657445906,764.0478480571509,763.9381713867188,761.8814086914062,-2.056753158569336,-0.10968620717525468
38,50,88,train,True,2.64e-05,-3.023514368534088,768.612625696659,768.4684448242188,765.589111328125,-2.879319190979004,-0.14419517755508426
39,49,88,train,True,0.001496,-1.3617514115571976,763.9205893021822,764.0634765625,762.558837890625,-1.5046323537826538,0.14288094222545622
40,48,88,train,True,0.0054032,-0.34111235044896604,762.5264761199802,762.6109619140625,762.1853637695312,-0.42563652992248535,0.08452417947351931
41,47,88,train,True,0.0578072,0.8477562475204468,754.2388526391983,754.371337890625,755.0866088867188,0.715318500995636,0.13243774652481077
42,46,88,train,True,0.0038192,0.7542148354649544,749.88030664891,750.1039428710938,750.634521484375,0.5305277109146118,0.22368712455034256
43,45,88,train,True,0.0041008,1.3778343433141709,738.0870094066859,738.3053588867188,739.46484375,1.1594517230987549,0.218382620215416
34,55,89,train,True,0.0037291,1.1604084557294845,750.5121379309893,750.7399291992188,751.6725463867188,0.9326566457748413,0.22775180995464317
35,54,89,train,True,0.0032663,0.335585904866457,759.3199927084148,759.2394409179688,759.6555786132812,0.41612881422042847,-0.08054290935397146
36,53,89,train,True,0.0021449,-0.5057331416010856,766.5299030634761,766.7186279296875,766.024169921875,-0.6944547891616821,0.1887216475605965
37,52,89,train,True,0.005429,-1.3193265479803085,771.3296414893865,771.1128540039062,770.0103149414062,-1.1025402545928955,-0.21678629338741295
38,51,89,train,True,9.79e-05,-2.4440445256233216,774.7417129826546,774.8271484375,772.2976684570312,-2.5295066833496094,0.08546215772628774
39,50,89,train,True,0.0003382,-3.1936807584762574,775.4796304655075,775.5469970703125,772.2859497070312,-3.261042833328247,0.06736207485198964
40,49,89,train,True,0.0027768,-1.3720191675424576,771.8650001245737,771.931396484375,770.4929809570312,-1.4384385347366333,0.06641936719417574
41,48,89,train,True,0.0236295,-0.3207677502185106,766.8033727306872,766.8968505859375,766.4826049804688,-0.4142245948314667,0.09345684461295606
