Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
16,17,33,0.030303030303030304,0.030303030303030304,10.288276478101775,0.311765953881872,70.25917632714781,1,1.0,4.0,1.0,3.0,1.7142857142857142,1.5654,0.1365,280.3657,280.4218032,-0.05610319999999547,6.6e-06
17,16,33,-0.030303030303030304,0.030303030303030304,10.288276478101775,0.311765953881872,79.74319696494985,1,1.0,3.0,1.0,4.0,1.7142857142857142,0.9712,0.1442,274.093,274.0569381,0.036061899999992875,0.0003894
18,15,33,-0.09090909090909091,0.2727272727272727,10.288276478101775,0.311765953881872,89.83481642972696,1,1.0,2.0,1.0,5.0,1.4285714285714286,0.3583,0.2554,260.7944,261.6555447,-0.8611447000000112,0.0003993
11,23,34,0.35294117647058826,4.235294117647059,10.49508462297634,0.30867895949930413,31.61104870727349,0,1.0,3.0,2.0,3.0,1.5,-3.8295,5.3489,233.4343,234.1388818,-0.7045817999999997,0.5994166
12,22,34,0.29411764705882354,2.9411764705882355,10.49508462297634,0.30867895949930413,38.004680735906966,2,1.0,4.0,2.0,2.0,1.3333333333333333,-3.3228,3.4402,255.6834,256.7133246,-1.0299246000000153,0.0068918
13,21,34,0.23529411764705882,1.8823529411764706,10.49508462297634,0.30867895949930413,44.995765612360586,0,1.0,5.0,2.0,1.0,0.8333333333333334,1.3402,0.5834,267.9129,267.2519204,0.6609795999999619,0.0021046
14,20,34,0.17647058823529413,1.0588235294117647,10.49508462297634,0.30867895949930413,52.58533946628996,2,1.0,6.0,2.0,0.0,0.0,-0.1513,0.0176,283.6663,283.4636406,0.20265939999995908,0.0008024
15,19,34,0.11764705882352941,0.47058823529411764,10.49508462297634,0.30867895949930413,60.7743132294414,0,1.0,5.0,1.0,1.0,0.8333333333333334,1.7902,0.0681,286.4286,287.2383104,-0.8097103999999717,0.0008092
16,18,34,0.058823529411764705,0.11764705882352941,10.49508462297634,0.30867895949930413,69.56349522423967,2,1.0,4.0,1.0,2.0,1.3333333333333333,1.8664,0.2436,291.7818,291.8389524,-0.057152400000006764,4.42e-05
17,17,34,0.0,0.0,10.49508462297634,0.30867895949930413,78.95360849958433,0,1.0,3.0,1.0,3.0,1.5,2.099,0.2872,285.6177,285.5650004,0.05269960000003948,4.76e-05
18,16,34,-0.058823529411764705,0.11764705882352941,10.49508462297634,0.30867895949930413,88.94530437677629,2,1.0,2.0,1.0,4.0,1.3333333333333333,0.934,0.2629,278.7239,278.7208616,0.003038400000036745,7.82e-05
12,23,35,0.3142857142857143,3.4571428571428573,10.699874805650794,0.30571070873287987,37.639228477984865,1,1.0,4.0,2.0,3.0,1.7142857142857142,-2.658,4.5025,256.8097,257.468183,-0.6584829999999897,0.269668
13,22,35,0.2571428571428571,2.3142857142857145,10.699874805650794,0.30571070873287987,44.56308722060568,1,1.0,5.0,2.0,2.0,1.4285714285714286,0.4062,1.5353,272.5439,272.5493505,-0.005450499999994918,0.0073605
14,21,35,0.2,1.4,10.699874805650794,0.30571070873287987,52.079679882537704,1,1.0,6.0,2.0,1.0,0.8571428571428571,0.5394,0.1864,286.6159,285.934754,0.6811460000000125,0.0358575
15,20,35,0.14285714285714285,0.7142857142857143,10.699874805650794,0.30571070873287987,60.189908636025606,1,1.0,5.0,2.0,0.0,0.0,1.0375,0.0098,294.9668,295.618736,-0.6519360000000347,0.0018655
16,19,35,0.08571428571428572,0.2571428571428571,10.699874805650794,0.30571070873287987,68.89457403068172,1,1.0,4.0,1.0,1.0,0.8,2.0726,0.0843,298.7342,298.8247885,-0.09058850000002394,4.2e-05
17,18,35,0.02857142857142857,0.02857142857142857,10.699874805650794,0.30571070873287987,78.19439216258166,1,1.0,3.0,1.0,2.0,1.2,2.493,0.4081,297.8227,298.209765,-0.3870650000000069,3.5e-05
18,17,35,-0.02857142857142857,0.02857142857142857,10.699874805650794,0.30571070873287987,88.09000808993365,1,1.0,2.0,1.0,3.0,1.2,1.9652,0.4392,291.2352,291.4611735,-0.2259734999999523,0.000679
19,16,35,-0.08571428571428572,0.2571428571428571,10.699874805650794,0.30571070873287987,98.58200648150833,1,1.0,1.0,1.0,4.0,0.8,0.9964,0.0885,278.512,278.8044315,-0.2924315000000206,0.000511
12,24,36,0.3333333333333333,4.0,10.902723556992836,0.30285343213869,37.28743940589357,2,1.0,4.0,2.0,4.0,2.0,-4.1285,5.6354,260.4101,260.7991272,-0.3890271999999868,0.6902388
13,23,36,0.2777777777777778,2.7777777777777777,10.902723556992836,0.30285343213869,44.1465854022427,0,1.0,5.0,2.0,3.0,1.875,-0.5625,2.4417,275.0208,274.4465544,0.5742455999999834,0.1495044
14,22,36,0.2222222222222222,1.7777777777777777,10.902723556992836,0.30285343213869,51.59292542444871,2,1.0,6.0,2.0,2.0,1.5,0.2517,0.6431,292.3694,292.0507164,0.31868359999998574,0.0717984
15,21,36,0.16666666666666666,1.0,10.902723556992836,0.30285343213869,59.62735321274663,0,1.0,5.0,2.0,1.0,0.8333333333333334,1.8267,0.1412,299.241,299.0832912,0.15770879999996623,0.0131148
16,20,36,0.1111111111111111,0.4444444444444444,10.902723556992836,0.30285343213869,68.25066183453896,2,1.0,4.0,2.0,0.0,0.0,1.4313,0.0197,308.6528,308.71404,-0.06123999999999796,0.0001872
